frame,success,tracker,pixel_x_bottom_center,distance_m,bbox_x,bbox_y,bbox_w,bbox_h
102,True,CSRT,1399.5,19.508320726172467,1348,1126,103,173
103,True,CSRT,1413.5,19.720121028744327,1362,1126,103,173
104,True,CSRT,1428.5,19.947049924357035,1378,1127,101,170
105,True,CSRT,1442.5,20.158850226928895,1392,1125,101,170
106,True,CSRT,1454.5,20.340393343419063,1403,1123,103,173
107,True,CSRT,1470.5,20.582450832072617,1419,1122,103,173
108,True,CSRT,1486.5,20.82450832072617,1436,1128,101,170
109,True,CSRT,1499.5,21.021180030257185,1449,1129,101,170
110,True,CSRT,1511.5,21.202723146747353,1462,1132,99,166
111,True,CSRT,1524.5,21.399394856278366,1475,1130,99,166
112,True,CSRT,1540.5,21.64145234493192,1491,1128,99,166
113,True,CSRT,1551.5,21.80786686838124,1502,1127,99,166
114,True,CSRT,1567.5,22.049924357034797,1519,1128,97,163
115,True,CSRT,1582.5,22.276853252647502,1534,1129,97,163
116,True,CSRT,1597.5,22.50378214826021,1549,1130,97,163
117,True,CSRT,1611.5,22.715582450832073,1563,1131,97,163
118,True,CSRT,1624.5,22.912254160363087,1576,1131,97,163
119,True,CSRT,1637.5,23.1089258698941,1590,1134,95,160
120,True,CSRT,1654.5,23.3661119515885,1606,1129,97,163
121,True,CSRT,1667.5,23.562783661119514,1619,1131,97,163
122,True,CSRT,1680.5,23.759455370650528,1632,1130,97,163
123,True,CSRT,1695.5,23.986384266263236,1647,1131,97,163
124,True,CSRT,1709.5,24.1981845688351,1661,1132,97,163
125,True,CSRT,1721.5,24.379727685325264,1673,1134,97,163
126,True,CSRT,1734.5,24.576399394856278,1686,1134,97,163
127,True,CSRT,1750.5,24.818456883509832,1703,1134,95,160
128,True,CSRT,1761.5,24.984871406959154,1714,1133,95,160
129,True,CSRT,1771.5,25.136157337367624,1724,1133,95,160
130,True,CSRT,1787.5,25.37821482602118,1740,1132,95,160
131,True,CSRT,1799.5,25.559757942511347,1752,1136,95,160
132,True,CSRT,1812.5,25.75642965204236,1765,1137,95,160
133,True,CSRT,1828.5,25.998487140695914,1781,1134,95,160
134,True,CSRT,1844.5,26.240544629349472,1797,1134,95,160
135,True,CSRT,1856.5,26.422087745839637,1809,1136,95,160
136,True,CSRT,1869.5,26.61875945537065,1822,1135,95,160
137,True,CSRT,1883.5,26.83055975794251,1836,1135,95,160
138,True,CSRT,1897.5,27.042360060514373,1850,1135,95,160
139,True,CSRT,1908.5,27.20877458396369,1860,1135,97,163
140,True,CSRT,1921.5,27.405446293494705,1873,1137,97,163
141,True,CSRT,1933.5,27.58698940998487,1885,1139,97,163
142,True,CSRT,1945.5,27.76853252647504,1897,1140,97,163
143,True,CSRT,1958.5,27.965204236006052,1910,1140,97,163
144,True,CSRT,1975.5,28.222390317700455,1927,1137,97,163
145,True,CSRT,1988.5,28.41906202723147,1940,1137,97,163
146,True,CSRT,2000.5,28.600605143721634,1952,1139,97,163
147,True,CSRT,2013.5,28.797276853252647,1966,1141,95,160
148,True,CSRT,2025.5,28.978819969742815,1979,1144,93,157
149,True,CSRT,2037.5,29.16036308623298,1991,1145,93,157
150,True,CSRT,2051.5,29.37216338880484,2005,1146,93,157
151,True,CSRT,2064.5,29.568835098335853,2018,1145,93,157
152,True,CSRT,2076.5,29.75037821482602,2029,1141,95,160
153,True,CSRT,2089.5,29.947049924357035,2042,1141,95,160
154,True,CSRT,2102.5,30.14372163388805,2055,1140,95,160
155,True,CSRT,2117.5,30.370650529500757,2069,1139,97,163
156,True,CSRT,2128.5,30.537065052950076,2080,1140,97,163
157,True,CSRT,2140.5,30.71860816944024,2092,1142,97,163
158,True,CSRT,2152.5,30.90015128593041,2104,1143,97,163
159,True,CSRT,2167.5,31.127080181543118,2119,1142,97,163
160,True,CSRT,2178.5,31.293494704992437,2130,1140,97,163
161,True,CSRT,2190.5,31.4750378214826,2142,1140,97,163
162,True,CSRT,2201.5,31.64145234493192,2153,1140,97,163
163,True,CSRT,2215.5,31.853252647503783,2167,1140,97,163
164,True,CSRT,2230.5,32.08018154311649,2183,1140,95,160
165,True,CSRT,2243.5,32.276853252647506,2197,1141,93,157
166,True,CSRT,2254.5,32.443267776096825,2208,1141,93,157
167,True,CSRT,2266.5,32.62481089258699,2221,1142,91,154
168,True,CSRT,2279.5,32.821482602118,2234,1140,91,154
169,True,CSRT,2292.5,33.01815431164901,2247,1140,91,154
170,True,CSRT,2305.5,33.21482602118003,2260,1139,91,154
171,True,CSRT,2319.5,33.42662632375189,2274,1138,91,154
172,True,CSRT,2330.5,33.59304084720121,2285,1138,91,154
173,True,CSRT,2342.5,33.77458396369138,2297,1139,91,154
174,True,CSRT,2354.5,33.956127080181545,2309,1139,91,154
175,True,CSRT,2367.5,34.152798789712556,2322,1138,91,154
176,True,CSRT,2378.5,34.319213313161875,2333,1137,91,154
177,True,CSRT,2389.5,34.485627836611194,2344,1136,91,154
